URY,PER,CUB,USA,ISL,FIN,FRA,GRC,MAR,ZAF,CMR,SAU,IND,MNG,HKG,JPN,CHN,NZL,FJI
4.117,8.634,12.168,2877.37,1.092,14.922,281.373,9.808,3.7710000000000004,102.12,0.282,3.568,130.393,1.392,3.37,282.78700000000003,550.9590000000001,11.755,0.16899999999999998
4.007,9.96,14.155,2984.002,1.198,16.79,298.867,10.149,3.075,105.67,0.289,6.25,143.452,1.9709999999999999,3.681,292.86400000000003,439.342,11.198,0.231
4.315,10.222999999999999,13.026,3116.022,1.304,19.336,334.226,12.239,3.9539999999999997,109.725,0.3,6.939,154.06799999999998,1.601,4.246,324.835,435.51800000000003,12.217,0.242
4.553,12.253,14.279000000000002,3252.755,1.308,22.828000000000003,345.538,13.202,4.415,119.546,0.337,7.041,150.639,2.045,4.22,358.89099999999996,435.704,13.092,0.425
5.516,11.952,14.594000000000001,3388.1929999999998,1.396,25.3,352.11199999999997,16.999000000000002,4.254,128.14,0.311,4.216,165.96099999999998,1.9569999999999999,4.803,386.471,474.681,13.685,0.344
5.399,13.241,15.169,3559.179,1.494,29.489,347.605,18.621,5.46,128.235,0.344,6.407,171.688,1.953,5.162000000000001,419.245,521.4590000000001,14.0,0.322
4.879,13.64,15.737,3693.298,1.443,28.588,372.475,19.504,5.4079999999999995,133.76,0.45799999999999996,25.485,172.093,2.125,6.0520000000000005,489.30699999999996,432.224,13.627,0.355
4.878,14.487,16.02,3828.3059999999996,1.5930000000000002,33.281,385.101,22.285999999999998,5.62,137.954,0.506,29.079,187.105,2.48,6.1979999999999995,561.913,467.806,13.472999999999999,0.396
5.5889999999999995,15.285,17.243,4021.5029999999997,1.264,37.897,413.759,25.434,5.817,143.143,0.5720000000000001,35.271,190.4,2.682,7.752000000000001,653.215,575.945,14.257,0.43200000000000005
5.736000000000001,17.766,18.654,4325.501,1.3880000000000001,40.355,439.625,24.125999999999998,7.282,149.618,0.637,45.251000000000005,194.729,2.847,8.392999999999999,767.9630000000001,770.1669999999999,14.18,0.52
5.8020000000000005,18.593,19.588,4351.309,1.472,40.537,463.131,27.749000000000002,8.19,168.405,0.809,59.757,205.33,3.032,9.151,796.544,874.0160000000001,15.049000000000001,0.5489999999999999
6.069,18.152,20.776,4558.4529999999995,1.483,44.106,481.588,31.476999999999997,8.036,171.55700000000002,0.86,70.282,217.18200000000002,3.2760000000000002,9.276,852.17,928.8939999999999,16.19,0.579
5.769,19.732,22.374000000000002,4762.452,1.75,49.32,517.5419999999999,37.131,9.626,173.358,0.897,95.054,223.602,3.472,9.286,914.2660000000001,965.6469999999999,18.2,0.63
5.6770000000000005,21.335,22.885,4592.958,1.7380000000000002,46.608000000000004,499.968,36.062,11.12,176.55200000000002,0.9740000000000001,98.70200000000001,231.185,3.741,10.667,914.307,985.085,18.76,0.67
5.962000000000001,21.94,27.035999999999998,4400.795,1.6130000000000002,46.026,447.74800000000005,38.67,11.093,185.011,1.161,83.26100000000001,251.19299999999998,4.055,11.008,868.5110000000001,1142.1019999999999,18.27,0.623
